id,vink_nr,vink_date,ground,street,city,result,season,kickoff,gate,ticket,countfor92,rating,club_id,away_club_id,user_id,created_at,updated_at,league_id,programme_link,ticket_link,latitude,longitude
2,3,2003-12-26 00:00:00,Griffin Park,Braemar Road. Brentford. Hounslow. United Kingdom,,1-2,2003-2004,12:00,5912,16.0,true,,47,29,1,2014-02-12 18:22:40.704855,2014-08-14 18:11:26.214559,3,,,51.4874292,-0.3023629
4,6,2004-03-20 00:00:00,Brisbane Road,Brisbane Road. Leyton. united kingdom,,0-2,2003-2004,15:00,3637,14.0,true,,55,92,1,2014-02-12 18:22:40.734674,2014-08-14 18:11:27.030605,4,,,51.5601899,-0.0127137
5,7,2004-04-17 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2003-2004,15:00,25206,25.0,false,,24,25,1,2014-02-12 18:22:40.749276,2014-08-14 18:11:27.358009,1,,,51.4869988,0.0338331
6,8,2004-09-25 00:00:00,Craven Cottage,Putney Bridge. London. United Kingdom,,1-0,2004-2005,15:00,19237,28.0,true,,7,44,1,2014-02-12 18:22:40.763323,2014-08-14 18:11:27.697629,1,,,51.4676979,-0.2120979
7,9,2004-09-10 00:00:00,Underhill,Westcombe Drive. Barnet. United Kingdom,,5-0,2004-2005,15:00,1894,12.0,true,,71,78,1,2014-02-12 18:22:40.778547,2014-08-14 18:11:28.189555,4,,,51.6471052,-0.1917215
8,10,2004-10-17 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-1,2004-2005,16:05,26553,25.0,false,,24,11,1,2014-02-12 18:22:40.7926,2014-08-14 18:11:28.601639,1,,,51.4869988,0.0338331
9,11,2004-12-18 00:00:00,York Street,York Street. Boston. United Kingdom,,3-1,2004-2005,15:00,2428,13.0,false,,93,94,1,2014-02-12 18:22:40.806921,2014-08-14 18:11:28.873536,4,,,52.9767148,-0.017016
10,12,2005-01-29 00:00:00,Gay Meadow,Railway Lane. Shrewsbury. United Kingdom,,0-1,2004-2005,15:00,3884,12.0,true,,88,67,1,2014-02-12 18:22:40.820967,2014-08-14 18:11:29.292219,4,,,52.7079594,-2.7450465
11,13,2005-02-19 00:00:00,Adams Park,Hillbottom Road. High Wycombe. United Kingdom,,1-1,2004-2005,15:00,4326,14.0,true,,67,94,1,2014-02-12 18:22:40.834817,2014-08-14 18:11:29.706378,4,,,51.6312301,-0.7947092
12,14,2005-03-25 00:00:00,Kenilworth Road,Kenilworth Road. Luton. United Kingdom,,1-3,2004-2005,15:00,7548,21.0,false,,95,21,1,2014-02-12 18:22:40.849103,2014-08-14 18:11:30.261911,3,,,51.8844667,-0.4289792
13,16,2005-04-16 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-2,2004-2005,15:00,26708,25.0,false,,24,4,1,2014-02-12 18:22:40.863095,2014-08-14 18:11:30.621617,1,,,51.4869988,0.0338331
14,23,2005-10-07 00:00:00,Plainmoor,Marnham Road. Torquay. United Kingdom,,0-0,2005-2006,19:45,2965,14.0,true,,91,71,1,2014-02-12 18:22:40.876892,2014-08-14 18:11:30.970078,4,,,50.4765553,-3.5251228
16,19,2005-08-13 00:00:00,Brunton Park,Thirlwell Gardens. Carlisle. United Kingdom,,1-3,2005-2006,15:00,6650,16.0,true,,49,71,1,2014-02-12 18:22:40.905396,2014-08-14 18:11:31.644326,4,,,54.8949509,-2.9116577
17,17,2005-04-30 00:00:00,Highfield Road,Highfield Road. Coventry. United Kingdom,,6-2,2004-2005,15:00,22728,22.0,true,,31,33,1,2014-02-12 18:22:40.919896,2014-08-14 18:11:31.946478,2,,,52.4135006,-1.4902425
18,20,2005-08-20 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,1-0,2005-2006,15:00,23453,25.0,false,,24,19,1,2014-02-12 18:22:40.933826,2014-08-14 18:11:32.269166,1,,,51.4869988,0.0338331
19,21,2005-09-03 00:00:00,Victoria Road,Victoria Road. Dagenham. United Kingdom,,2-2,2005-2006,12:00,1372,10.0,true,,78,52,1,2014-02-12 18:22:40.99153,2014-08-14 18:11:32.526199,4,,,51.5473264,0.16139
20,22,2005-09-17 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,0-2,2005-2006,15:00,27111,351.0,false,,24,5,1,2014-02-12 18:22:41.007703,2014-08-14 18:11:32.823061,1,,,51.4869988,0.0338331
21,26,2005-11-05 00:00:00,London Road,London Road. Peterborough. United Kingdom,,0-0,2005-2006,15:00,3856,13.0,true,,42,74,1,2014-02-12 18:22:41.022909,2014-08-14 18:11:33.081654,8,,,52.5330309,-0.2604155
22,27,2005-12-17 00:00:00,Ninian Park,Sloper Road. Cardiff. United Kingdom,,0-0,2005-2006,15:00,12500,15.0,true,,30,33,1,2014-02-12 18:22:41.036701,2014-08-14 18:11:33.389319,2,,,51.4695141,-3.1956644
23,28,2005-12-18 00:00:00,Park View Road,Park View Road. Welling. United Kingdom,,3-1,2005-2006,15:00,415,9.0,false,,96,97,1,2014-02-12 18:22:41.05164,2014-08-14 18:11:33.622644,9,,,51.460581,0.1189181
24,29,2005-12-26 00:00:00,The Valley,Floyd Road. SE7. London. United Kingdom,,0-1,2005-2006,12:45,27111,20.0,false,,24,1,1,2014-02-12 18:22:41.065546,2014-08-14 18:11:34.011671,1,,,51.4869988,0.0338331
26,31,2006-01-22 00:00:00,Stamford Bridge,Britannia Road. London. United Kingdom,,1-1,2005-2006,12:45,41355,45.0,true,,5,24,1,2014-02-12 18:22:41.093212,2014-08-14 18:11:34.710635,1,,,51.6219417,-0.1754692
27,33,2006-02-14 00:00:00,Selhurst Park,Whitehorse Lane. Croydon. United Kingdom,,2-1,2005-2006,20:00,17550,32.0,true,,32,13,1,2014-02-12 18:22:41.107165,2014-08-14 18:11:35.092708,2,,,51.4001237,-0.0859502
28,34,2006-02-18 00:00:00,Hillsborough,Leppings Lane. Sheffield. United Kingdom,,1-2,2005-2006,15:00,33439,17.0,true,,63,62,1,2014-02-12 18:22:41.12087,2014-08-14 18:11:35.475716,2,,,53.41313,-1.5029213
